v1,v2
ham,IndiGo airlines strictly hires through the official careers portal and does not charge any money for interviews or recruitment related activities
spam,Your mobile number is the lucky winner of a gold coin in our retail draw pay the courier charges online to receive your assured gift
ham,Congratulations on your new credit card make your first purchase to unlock a welcome gift voucher of Rs 1000 from our official rewards catalog
spam,Work from home job opportunity complete 500 data entry forms with high accuracy if you fail you will be liable to pay court penalty
ham,We are pleased to offer you the position of data entry operator please review the attached employment contract and revert with your signed acceptance
spam,Your SBI netbanking reward points of Rs 9980 will expire today install the attached APK reward app to claim your cash deposit instantly
ham,State Bank of India advises customers never to download unknown APK files or click on SMS links for redeeming reward points stay safe
spam,You have been selected for online part time job earn daily 2000 to 5000 rupees by rating products on our portal register now for free
ham,Naukri fastforward services help highlight your profile to top recruiters log in to your account to update your resume and get better job matches
spam,Legal department warning you are being sued for data entry fraud pay the lawyer fee of Rs 2500 right now or police will visit your house
ham,Dear customer your personal loan EMI is due on the 5th of this month please ensure sufficient balance in your account to avoid late payment penalty
spam,Congratulations you won a free smartphone in the Flipkart big billion day lucky draw pay the delivery charge of Rs 150 to dispatch the item
ham,Flipkart order update your package containing the smartphone has been dispatched and will be delivered today share the delivery PIN with the agent
spam,Earn 50000 in one shot in stock market and commodity trading for more detail about this guaranteed winning offer reply to this message now
ham,Your mutual fund SIP of Rs 5000 has been successfully processed the updated NAV details have been sent to your registered email address
spam,We are hiring data entry experts for typing jobs no interview required pay a small registration fee of 500 and start your work today
ham,The walk in interview for the data entry position will be held at our corporate office please bring a copy of your resume and a valid ID
spam,Your resume is shortlisted for Amazon remote data entry job no virtual interviews please transfer Rs 1000 for document verification process
ham,Amazon does not charge any fees during the recruitment process please be cautious of fraudulent job offers and apply only via the amazon jobs portal
spam,You have won an exclusive lottery worth 5 million dollars from an unknown international donor reply with your bank details to facilitate the transfer
ham,Thank you for participating in the community lucky draw the list of winners will be published on our official municipal website next Monday
spam,Important notice your typing accuracy was only 85 percent pay the contract cancellation fee immediately to avoid severe legal action against you
ham,Notice of upcoming system maintenance the banking portal will be unavailable from midnight to 2 AM please plan your high value transactions accordingly
spam,Dear user you have been selected for an exclusive work from home job click the wa me link to connect with our international HR team
ham,Your connection request on LinkedIn has been accepted view their profile to see their current job title and explore mutual professional connections
spam,This is a final legal notice from our advocate regarding your incomplete data entry task pay 3900 to settle out of court or face arrest
ham,Your income tax return for the previous financial year has been successfully processed no further legal action or penalty is required at this time
spam,Special lottery promo your email has won a grand prize of 100000 GBP send your personal identification details to our claim agent immediately
ham,We have received your application for the data entry specialist role our recruitment team will review your profile and contact you if shortlisted
spam,HCL technologies is offering immediate joining for remote developers pay the software equipment charge to get your company laptop dispatched today
ham,HCLTech recruitment team corresponds only from official domains and will never ask for software or equipment charges during the selection process
spam,You are the lucky winner of a free holiday package reply to this message to claim your vacation voucher before the offer expires in 2 hours
ham,Enjoy a complimentary lounge access at the airport as a premium credit card holder log in to your banking app to view your travel offers
spam,Online data entry job complete 150 pages and earn 56000 rupees to withdraw your earnings you must first deposit 1695 rupees to our wallet
ham,Your salary of Rs 56000 for the month of October has been credited to your account thank you for your continued dedication and hard work
spam,Earn money easily by giving 5 star reviews to restaurants on google maps daily payment guaranteed click the link to join our telegram group
ham,Google local guides thank you for your recent review of the restaurant your contribution helps millions of users discover great places around them
spam,Notice from Supreme Court advocate regarding breach of data entry agreement pay your fine online immediately or an arrest warrant will be issued
ham,Your appointment with the legal counsel has been scheduled for tomorrow afternoon please bring all relevant documentation for the contract review
spam,Your phone number was randomly selected in the Diwali lucky draw win a guaranteed gold coin by clicking this link and paying the entry fee
ham,Wishing you a very happy Diwali from the management team we appreciate your hard work and have credited a festive bonus to your account
spam,Infosys recruitment alert you have been selected for a direct job offer pay the mandatory training fee of Rs 3500 to secure your placement
ham,Infosys follows a merit based recruitment practice and does not accept any security deposit from job seekers during the hiring process
spam,Part time job from home no experience needed fill out online forms and make 4000 a day register now by paying a small activation charge
ham,Please find attached the official offer letter for the data entry position sign the document digitally and return it to the HR department
spam,You have won 50000 in the weekly mobile number lucky draw share your UPI PIN and bank details to receive the prize money instantly
ham,Reminder your credit card bill of Rs 50000 is due tomorrow please pay on time to avoid late fees and maintain a healthy credit score
spam,Data entry fraud alert you have failed to complete the assigned work on time legal notice dispatched pay compensation to avoid court case
ham,Alert this is a sample testing message sent through the cell broadcasting system by the government of India please ignore no action is required
spam,Your resume is selected by our third party agency for a high paying job send your Aadhaar card and signature to generate your employment ID
ham,Your Aadhaar authentication was successful for the opening of your new savings account welcome to the bank and enjoy our digital services
spam,Congratulations you have won an iPhone in our lucky spin contest pay the delivery tax of Rs 299 to the given UPI id to claim
ham,Your mobile recharge of Rs 299 was successful enjoy unlimited calls and daily data quota for the next 28 days as per your selected plan
spam,We are providing genuine data entry jobs with no investment just pay a refundable security deposit of 1500 to get the typing software
ham,The typing test for the data entry operator role will begin at 11 AM please log in to the assessment portal using your candidate credentials
spam,Your ICC World Cup lucky draw prize is ready for dispatch reply to this SMS with your complete postal address and transfer the customs fee
ham,Thank you for purchasing tickets to the upcoming cricket match your seat details and entry QR code have been sent to your registered email
spam,Urgent requirement for data entry staff salary 30000 per month pay 1000 rupees as registration fee to schedule your immediate telephonic interview
ham,Your telephonic interview is scheduled for Friday at 3 PM the recruiter will call you on this registered mobile number please be available
spam,You have committed a breach of contract by submitting incorrect data entry forms a penalty of 5000 is applied pay now to avoid legal notice
ham,The penalty for premature withdrawal of your fixed deposit has been waived off as per the latest banking policy update visit branch for details
spam,Earn 2000 rupees daily by rating products on our partner app complete the first task and get a joining bonus transferred to your bank
ham,Your review for the recently purchased product has been published on the website thank you for sharing your valuable feedback with other shoppers
spam,Congratulations you are the lucky winner of a brand new car in our promotional draw contact our customer care executive to claim your prize
ham,Your vehicle insurance policy is up for renewal next week please pay the premium online to continue enjoying comprehensive coverage and benefits
spam,Wixon international data entry job earn 17000 in 5 days click the link to sign the agreement and pay the processing fee to start
ham,Your monthly utility bill payment of Rs 1700 has been successfully processed through the auto debit mandate registered on your savings account
spam,Your profile has been shortlisted for a high paying remote job at a multinational company reply with YES and pay the background check fee
ham,Your background verification has been completed successfully the HR team will reach out to you shortly with the final onboarding instructions
spam,This is a legal warning from our advocate you have not completed the 500 forms pay the settlement amount or we will file a case
ham,Your request for updating the address in the bank records has been processed successfully please verify the changes in your netbanking profile
spam,You have won a free shopping voucher worth 10000 rupees in our lucky draw click the link and enter your debit card details to redeem
ham,Your debit card has been successfully blocked as per your request a new replacement card will be dispatched to your registered address soon
spam,Make easy money from home by subscribing to youtube channels message our manager on WhatsApp to receive your first paid assignment today
ham,The monthly subscription fee for your premium streaming service has been auto renewed you can manage your billing preferences in the account settings
spam,Data entry operators wanted immediately earn up to 500 per page pay the initial registration fee of 800 to get your login credentials
ham,Your login credentials for the corporate employee portal have been generated please change your default password upon your first successful login
spam,You are selected for the lucky draw grand finale transfer 2000 rupees to secure your participation and win guaranteed cash prizes up to 1 lakh
ham,Your funds transfer of 2000 rupees to the registered beneficiary has been completed successfully the updated account balance is available online
spam,Legal notice your data entry accuracy is below the required standard you are liable to pay a fine of 4500 to our legal department
ham,The standard processing time for your loan application is three to five business days our executive will contact you if further documents are required
spam,Earn quick cash by liking instagram posts daily payout guaranteed click the link below and pay the VIP membership fee to access premium tasks
ham,Your premium membership for the professional networking site has been activated explore new features and connect with industry leaders today
spam,Amazon lucky draw winner congratulations you have won a laptop pay the courier and insurance charges to get it delivered to your home
ham,Your laptop has been successfully repaired and is ready for pickup from our authorized service center please bring your original service receipt
spam,We are hiring freshers for data entry jobs work from home and earn 25000 a month pay the ID card fee to get your offer
ham,Welcome to the company your employee ID card will be issued on your first day of joining please report to the HR desk at 9 AM
spam,You have won the global WhatsApp lottery of 50 lakh rupees contact our foreign exchange agent to clear the transfer taxes and receive funds
ham,The foreign exchange rates for today have been updated on our banking portal log in to check the latest conversion values for international transfers
spam,Data entry breach of contract you failed to complete the task pay the penalty of 3900 or our advocate will send a legal notice
ham,The terms of your employment contract have been updated please review the revised document and acknowledge receipt by replying to this email
spam,Get a guaranteed job in top MNC pay 5000 as placement fee and get your confirmed interview call letter within 24 hours of payment
ham,Your placement drive registration is confirmed the schedule for the aptitude test and technical interview will be shared with you shortly
spam,Congratulations you are the lucky winner of a gold chain in our festival draw pay the making charges online to receive your prize
ham,The making charges for your custom jewelry order have been finalized please visit the store to approve the design before we begin production
spam,Online data entry job complete the typing assignment in 3 days to earn 15000 pay the refundable software security deposit to start working
ham,Your security deposit for the rental property has been refunded to your bank account please check your statement to confirm the transaction
spam,You have won a cash prize of 5000 dollars in the international lucky draw reply with your account number and routing details to claim
ham,Your international remittance of 5000 dollars has been credited to your account the funds are now available for your immediate use
spam,Urgent hiring for simple data entry tasks no target no stress pay the registration fee of 999 and start earning money from home
ham,Your registration for the upcoming technical webinar is confirmed the joining link will be sent to your email one hour before the session
spam,Legal action pending you have submitted blank data entry forms pay the compensation of 5000 immediately to avoid court proceedings against you
ham,Your compensation review for the current financial year has been finalized the updated salary structure is available on the HR portal
spam,Earn money by rating mobile apps on our platform pay the VIP upgrade fee of 1500 to double your daily income and get instant withdrawals
ham,A new update is available for your mobile banking app please download the latest version from the official app store for enhanced security
spam,KBC lucky draw alert you have won a massive cash prize call the prize department on this number and pay the GST amount to claim
ham,Your GST registration certificate has been successfully generated you can download the document from the official government portal using your credentials
spam,Data entry job offer earn 20 rupees per form fill 1000 forms in a week pay the portal access fee of 500 to get started
ham,Your portal access has been temporarily suspended due to multiple incorrect login attempts please reset your password using the forgot password link
spam,You are the winner of a brand new bike in the supermarket lucky draw pay the vehicle registration fee online to get it delivered
ham,The registration certificate for your new vehicle has been dispatched via speed post you can track the delivery status using the consignment number
spam,Part time job opportunity earn 3000 daily by watching videos pay the one time activation fee and join our exclusive earning group today
ham,Your activation code for the new software subscription is enclosed please enter this code during the installation process to verify your license
spam,Advocate notice regarding data entry fraud you have not finished the given work pay the penalty of 4000 or face severe legal consequences
ham,Please be informed that the legal compliance workshop has been rescheduled to next Thursday your attendance is highly recommended for this session
spam,Win a fully paid trip to Dubai in our grand lucky draw event reply with your passport details and transfer the visa processing fee
ham,Your visa application for Dubai has been successfully submitted please track the status online using your unique reference application number
spam,TCS HR announces direct walk in for remote data entry jobs pay Rs 2500 for the mandatory background verification check before the interview
ham,TCS strictly conducts background verification through authorized third party vendors after the offer letter is accepted do not pay individual recruiters
spam,You are the exclusive winner of 20000 rupees in our lucky draw contest please share your debit card details and CVV to claim
ham,Your debit card transaction of 20000 rupees at the electronics store was successful thank you for banking with us and enjoy your purchase
spam,Data entry scam warning you failed the typing test and caused us loss pay the legal penalty immediately to halt the police FIR
ham,The First Information Report regarding your stolen mobile phone has been registered successfully please collect the official copy from the local station
spam,Work from home data entry job available type 200 pages and earn 40000 pay the initial security deposit of 2000 to get the files
ham,Your requested financial statement for the previous quarter has been generated please find the secure document attached to your registered email address
spam,Congratulations your email ID has won a mega prize of 1 million dollars send your identity proof and bank account details for verification
ham,Your identity proof verification is complete and your digital wallet is now fully active you can start making secure payments immediately
spam,Urgent requirement for remote workers earn 5000 a day by writing hotel reviews click the link and pay the registration amount to join
ham,Your hotel booking has been confirmed please present your booking reference number and a valid photo ID at the reception during check in
spam,Legal notice you have submitted incorrect data entry forms pay the fine of 3500 to our advocate or we will issue an arrest warrant
ham,Your property tax payment of 3500 has been received successfully please keep the digital receipt for your future records and administrative compliance
spam,You are the fortunate winner of a free refrigerator in the annual lucky draw pay the shipping charges online to get it delivered today
ham,Your order for the new refrigerator has been confirmed and the estimated delivery date is next Tuesday our installation team will contact you
spam,Wipro hiring for online typing jobs earn 30000 per month pay the documentation fee of 1500 to receive your official offer letter
ham,Wipro reminds all applicants that we never request documentation fees or any monetary deposits during the hiring process report any suspicious activity immediately
spam,Earn daily cash by rating Amazon products on our platform pay the VIP subscription fee to unlock higher paying premium tasks and withdraw funds
ham,Your Amazon prime subscription has been successfully renewed enjoy unlimited free fast delivery and exclusive access to movies and TV shows
spam,Breach of contract your data entry accuracy is unacceptable pay the compensation of 5000 to avoid severe legal action in the supreme court
ham,The supreme court has issued new guidelines regarding digital data privacy compliance all corporate entities must update their user agreements by next month
spam,KBC lucky draw winner your mobile number has won a cash prize of 25 lakhs send your bank details and pay the processing fee
ham,Your mobile number has been successfully updated in your banking profile you will now receive all transaction alerts and OTPs on this number
spam,Data entry operators needed type 100 pages in 2 days and earn 10000 pay the software installation charge to get your login ID
ham,Your software installation is complete please restart your computer to apply the updates and ensure optimal performance of the new application
spam,You have won a free holiday package to Goa in our lucky draw pay the hotel booking confirmation fee to secure your free trip
ham,Your hotel booking in Goa has been confirmed the detailed itinerary and contact information for the resort have been sent to your email
spam,HCL technologies requires remote data entry staff pay Rs 2000 for the mandatory training session and get your confirmed job offer letter today
ham,HCLTech has scheduled your mandatory induction training for next Monday please ensure your internet connection is stable for the virtual onboarding session
spam,Legal warning you have failed to complete the assigned data entry task pay the fine of 4000 immediately to avoid an official police complaint
ham,Your official complaint regarding the unauthorized transaction has been registered our fraud investigation team will contact you within the next 48 hours
spam,Earn money by subscribing to our partner youtube channels daily payout of 2000 rupees click the link and pay the joining fee to start
ham,Your channel subscription has been renewed successfully thank you for supporting the creator and enjoying the exclusive member only content and badges
spam,Amazon lucky draw congratulations you have won a smart TV pay the courier and insurance charges to get it delivered to your address
ham,Your smart TV installation request has been received our technician will visit your address tomorrow between 10 AM and 2 PM for setup
spam,Data entry job offer earn 50 rupees per page type 500 pages in a week pay the portal access fee of 1000 to begin
ham,Your portal access request has been approved by the IT department you can now log in using your secure corporate credentials and multifactor authentication
spam,You are the winner of a brand new laptop in the supermarket lucky draw pay the registration tax online to get it delivered immediately
ham,Your laptop warranty registration is complete you can now access priority customer support and schedule repairs through our official brand portal
spam,Part time job opportunity earn 4000 daily by watching promotional videos pay the one time activation fee and join our exclusive earning group
ham,Your activation fee for the new broadband connection has been received our installation executive will contact you shortly to set up the router
spam,Advocate notice regarding data entry fraud you have not finished the given work pay the penalty of 4500 or face severe legal consequences
ham,Please be informed that the legal compliance workshop has been rescheduled to next Thursday your attendance is highly recommended for this mandatory session
spam,Win a fully paid trip to Singapore in our grand lucky draw event reply with your passport details and transfer the visa processing fee
ham,Your visa application for Singapore has been successfully submitted please track the status online using your unique reference application number provided
ham,TCS strictly conducts background verification through authorized third party vendors after the offer letter is accepted do not pay individual recruiters under any circumstances
spam,You are the exclusive winner of 25000 rupees in our lucky draw contest please share your debit card details and CVV to claim
ham,Your debit card transaction of 25000 rupees at the electronics store was successful thank you for banking with us and enjoy your purchase
spam,Data entry scam warning you failed the typing test and caused us financial loss pay the legal penalty immediately to halt the police FIR
ham,The First Information Report regarding your stolen mobile phone has been registered successfully please collect the official copy from the local police station
spam,Work from home data entry job available type 300 pages and earn 50000 pay the initial security deposit of 2500 to get the files
spam,Congratulations your email ID has won a mega prize of 2 million dollars send your identity proof and bank account details for verification
ham,Your identity proof verification is complete and your digital wallet is now fully active you can start making secure payments immediately without restrictions
spam,Urgent requirement for remote workers earn 6000 a day by writing hotel reviews click the link and pay the registration amount to join
spam,Legal notice you have submitted incorrect data entry forms pay the fine of 4000 to our advocate or we will issue an arrest warrant
ham,Your property tax payment of 4000 has been received successfully please keep the digital receipt for your future records and administrative compliance
spam,You are the fortunate winner of a free washing machine in the annual lucky draw pay the shipping charges online to get it delivered
ham,Your order for the new washing machine has been confirmed and the estimated delivery date is next Tuesday our installation team will contact you
spam,Wipro hiring for online typing jobs earn 35000 per month pay the documentation fee of 2000 to receive your official offer letter
spam,Earn daily cash by rating Flipkart products on our platform pay the VIP subscription fee to unlock higher paying premium tasks and withdraw funds
ham,Your Flipkart plus membership has been successfully renewed enjoy unlimited free fast delivery and exclusive access to early sales and promotional offers
spam,Breach of contract your data entry accuracy is unacceptable pay the compensation of 6000 to avoid severe legal action in the supreme court
spam,KBC lucky draw winner your mobile number has won a cash prize of 30 lakhs send your bank details and pay the processing fee
spam,Data entry operators needed type 150 pages in 3 days and earn 15000 pay the software installation charge to get your login ID
spam,You have won a free holiday package to Manali in our lucky draw pay the hotel booking confirmation fee to secure your free trip
ham,Your hotel booking in Manali has been confirmed the detailed itinerary and contact information for the resort have been sent to your email
spam,HCL technologies requires remote data entry staff pay Rs 2500 for the mandatory training session and get your confirmed job offer letter today
spam,Legal warning you have failed to complete the assigned data entry task pay the fine of 4500 immediately to avoid an official police complaint
spam,Earn money by subscribing to our partner telegram channels daily payout of 2500 rupees click the link and pay the joining fee to start
spam,Reliance lucky draw congratulations you have won a smart watch pay the courier and insurance charges to get it delivered to your address
ham,Your smart watch warranty registration is complete you can now access priority customer support and schedule repairs through our official brand portal
spam,Data entry job offer earn 60 rupees per page type 600 pages in a week pay the portal access fee of 1200 to begin
spam,You are the winner of a brand new scooter in the supermarket lucky draw pay the registration tax online to get it delivered immediately
ham,Your vehicle registration certificate has been dispatched via speed post you can track the delivery status using the consignment number provided online
spam,Part time job opportunity earn 5000 daily by watching promotional videos pay the one time activation fee and join our exclusive earning group
spam,Advocate notice regarding data entry fraud you have not finished the given work pay the penalty of 5000 or face severe legal consequences
spam,Win a fully paid trip to Thailand in our grand lucky draw event reply with your passport details and transfer the visa processing fee
ham,Your visa application for Thailand has been successfully submitted please track the status online using your unique reference application number provided
spam,Infosys HR announces direct walk in for remote data entry jobs pay Rs 3000 for the mandatory background verification check before the interview
ham,Infosys strictly conducts background verification through authorized third party vendors after the offer letter is accepted do not pay individual recruiters under any circumstances
spam,You are the exclusive winner of 30000 rupees in our lucky draw contest please share your debit card details and CVV to claim
ham,Your debit card transaction of 30000 rupees at the electronics store was successful thank you for banking with us and enjoy your purchase
spam,Work from home data entry job available type 400 pages and earn 60000 pay the initial security deposit of 3000 to get the files
spam,Congratulations your email ID has won a mega prize of 3 million dollars send your identity proof and bank account details for verification
spam,Urgent requirement for remote workers earn 7000 a day by writing hotel reviews click the link and pay the registration amount to join
spam,Legal notice you have submitted incorrect data entry forms pay the fine of 4500 to our advocate or we will issue an arrest warrant
ham,Your property tax payment of 4500 has been received successfully please keep the digital receipt for your future records and administrative compliance
spam,You are the fortunate winner of a free air conditioner in the annual lucky draw pay the shipping charges online to get it delivered
ham,Your order for the new air conditioner has been confirmed and the estimated delivery date is next Tuesday our installation team will contact you
spam,Tech Mahindra hiring for online typing jobs earn 40000 per month pay the documentation fee of 2500 to receive your official offer letter
ham,Tech Mahindra reminds all applicants that we never request documentation fees or any monetary deposits during the hiring process report any suspicious activity immediately
spam,Earn daily cash by rating Myntra products on our platform pay the VIP subscription fee to unlock higher paying premium tasks and withdraw funds
ham,Your Myntra insider membership has been successfully renewed enjoy unlimited free fast delivery and exclusive access to early sales and promotional offers
spam,Breach of contract your data entry accuracy is unacceptable pay the compensation of 7000 to avoid severe legal action in the supreme court
spam,KBC lucky draw winner your mobile number has won a cash prize of 35 lakhs send your bank details and pay the processing fee
spam,Data entry operators needed type 200 pages in 4 days and earn 20000 pay the software installation charge to get your login ID
spam,You have won a free holiday package to Kerala in our lucky draw pay the hotel booking confirmation fee to secure your free trip
ham,Your hotel booking in Kerala has been confirmed the detailed itinerary and contact information for the resort have been sent to your email
spam,Accenture requires remote data entry staff pay Rs 3000 for the mandatory training session and get your confirmed job offer letter today
ham,Accenture has scheduled your mandatory induction training for next Monday please ensure your internet connection is stable for the virtual onboarding session
spam,Legal warning you have failed to complete the assigned data entry task pay the fine of 5000 immediately to avoid an official police complaint
spam,Earn money by subscribing to our partner instagram pages daily payout of 3000 rupees click the link and pay the joining fee to start
ham,Your page subscription has been renewed successfully thank you for supporting the creator and enjoying the exclusive member only content and badges
spam,Tata cliq lucky draw congratulations you have won a smart phone pay the courier and insurance charges to get it delivered to your address
ham,Your smart phone warranty registration is complete you can now access priority customer support and schedule repairs through our official brand portal
spam,Data entry job offer earn 70 rupees per page type 700 pages in a week pay the portal access fee of 1500 to begin
spam,You are the winner of a brand new television in the supermarket lucky draw pay the registration tax online to get it delivered immediately
ham,Your television installation request has been received our technician will visit your address tomorrow between 10 AM and 2 PM for setup
spam,Part time job opportunity earn 6000 daily by watching promotional videos pay the one time activation fee and join our exclusive earning group
spam,Advocate notice regarding data entry fraud you have not finished the given work pay the penalty of 5500 or face severe legal consequences
spam,Win a fully paid trip to Malaysia in our grand lucky draw event reply with your passport details and transfer the visa processing fee
ham,Your visa application for Malaysia has been successfully submitted please track the status online using your unique reference application number provided
spam,IBM HR announces direct walk in for remote data entry jobs pay Rs 3500 for the mandatory background verification check before the interview
ham,IBM strictly conducts background verification through authorized third party vendors after the offer letter is accepted do not pay individual recruiters under any circumstances
spam,You are the exclusive winner of 35000 rupees in our lucky draw contest please share your debit card details and CVV to claim
ham,Your debit card transaction of 35000 rupees at the electronics store was successful thank you for banking with us and enjoy your purchase
spam,Work from home data entry job available type 500 pages and earn 70000 pay the initial security deposit of 3500 to get the files
spam,Congratulations your email ID has won a mega prize of 4 million dollars send your identity proof and bank account details for verification
spam,Urgent requirement for remote workers earn 8000 a day by writing hotel reviews click the link and pay the registration amount to join
spam,Legal notice you have submitted incorrect data entry forms pay the fine of 5000 to our advocate or we will issue an arrest warrant
ham,Your property tax payment of 5000 has been received successfully please keep the digital receipt for your future records and administrative compliance
spam,You are the fortunate winner of a free microwave oven in the annual lucky draw pay the shipping charges online to get it delivered
ham,Your order for the new microwave oven has been confirmed and the estimated delivery date is next Tuesday our installation team will contact you
spam,Cognizant hiring for online typing jobs earn 45000 per month pay the documentation fee of 3000 to receive your official offer letter
ham,Cognizant reminds all applicants that we never request documentation fees or any monetary deposits during the hiring process report any suspicious activity immediately
spam,Earn daily cash by rating Ajio products on our platform pay the VIP subscription fee to unlock higher paying premium tasks and withdraw funds
ham,Your Ajio VIP membership has been successfully renewed enjoy unlimited free fast delivery and exclusive access to early sales and promotional offers
spam,Breach of contract your data entry accuracy is unacceptable pay the compensation of 8000 to avoid severe legal action in the supreme court
spam,KBC lucky draw winner your mobile number has won a cash prize of 40 lakhs send your bank details and pay the processing fee
spam,Data entry operators needed type 250 pages in 5 days and earn 25000 pay the software installation charge to get your login ID
spam,You have won a free holiday package to Shimla in our lucky draw pay the hotel booking confirmation fee to secure your free trip
ham,Your hotel booking in Shimla has been confirmed the detailed itinerary and contact information for the resort have been sent to your email
spam,Capgemini requires remote data entry staff pay Rs 3500 for the mandatory training session and get your confirmed job offer letter today
ham,Capgemini has scheduled your mandatory induction training for next Monday please ensure your internet connection is stable for the virtual onboarding session
spam,Legal warning you have failed to complete the assigned data entry task pay the fine of 5500 immediately to avoid an official police complaint
spam,Earn money by subscribing to our partner facebook pages daily payout of 3500 rupees click the link and pay the joining fee to start
spam,Croma lucky draw congratulations you have won a sound bar pay the courier and insurance charges to get it delivered to your address
ham,Your sound bar warranty registration is complete you can now access priority customer support and schedule repairs through our official brand portal
spam,Data entry job offer earn 80 rupees per page type 800 pages in a week pay the portal access fee of 2000 to begin
spam,You are the winner of a brand new microwave in the supermarket lucky draw pay the registration tax online to get it delivered immediately
ham,Your microwave installation request has been received our technician will visit your address tomorrow between 10 AM and 2 PM for setup
spam,Download our fast cash app today and get an instant loan of Rs 50000 deposited in 5 minutes zero paperwork required click the link to install
ham,Your instant loan EMI of Rs 4500 is due on the 5th of this month please keep your savings account funded to avoid bounce charges and penalties
spam,Your HDFC creditcard has been selected for a lifetime free upgrade with a limit of Rs 5 Lakhs click the secure link to activate your card now
ham,The minimum amount due on your SBI creditcard ending with 4098 is Rs 1200 please pay the bill by the due date to avoid late payment penalties
spam,Congratulations you are selected for a pre approved loan of Rs 3 Lakhs pay the GST processing fee of Rs 1999 via UPI to disburse the funds
ham,You are eligible for a pre approved loan based on your relationship with ICICI bank please login to your iMobile app to check the offer details securely
spam,Your SBI savings account will be blocked today due to pending KYC please share the OTP sent to your mobile number to verify your identity immediately
ham,384912 is the OTP for your transaction of Rs 450 at Zomato with your Axis bank card do not share this OTP with anyone bank officials will never ask
spam,Need urgent money get an instant loan of Rs 100000 transferred to your bank account without CIBIL score check download this APK file today to apply
ham,Thank you for applying for a personal loan with Bajaj Finserv your instant loan application reference number is 849302 and is currently under official review
spam,Your reward points on your ICICI creditcard worth Rs 8500 will expire tonight click this link to redeem them directly into your bank account as cash
ham,Payment of Rs 15000 was received towards your HDFC bank creditcard ending in 8839 on the 12th of October your available limit has been updated successfully
spam,Dear customer your pre approved loan of Rs 200000 is ready for instant transfer please pay the file charge of Rs 500 to our agent via WhatsApp
ham,HDFC Bank informs you that a pre approved loan offer is available on your salary account visit your nearest home branch with your original documents to claim
spam,Dear user you have received a cashback of Rs 4999 from PhonePe reply with your 6 digit OTP to credit the reward amount to your wallet directly
ham,Never share your OTP with anyone 928374 is the OTP for your login to the Kotak mobile banking application valid for 10 minutes only
spam,Install our instant loan software and get up to Rs 5 Lakhs no income proof needed send a message to our WhatsApp agent to start the process
